"currency_Extraits d'Avis Divers,XXIV, Décembre 1835. 1 gourde = 3.33 fr.",1 Gourde = 3.33 fr.
currency_Documens sur le commerce extérieur. Indes occidentales espagnoles. Faits commerciaux n° 1.  BNF : LC5-138 (CM). 1 piastre = 5.40 fr,1 piastre = 5.40 francs
"currency_between 4 and 4,25 fr. and 4fr is used for conversion according to Annales du commerce extérieur. Indes orientales anglaises. Faits commerciaux, n° 8. BNF : LC5-138 (Bi)",Estimated between 4 fr. and 4.25 fr.
"currency_From Denzel (2010), 262-265. 1 Austria-Hungary Krone = 2 Austria-Hungary Guilder.",Estimated from 1 Austria-Hungary Krone = 2 Austria-Hungary Guilder. Vienna on London
"currency_From Denzel (2010), 285-289. 1 Livre tournois = 0.99 French Franc.",Estimated from 1 Livre tournois = 0.99 French Franc. Paris on London
"currency_From Denzel (2010), 307-312. 1 peso duro = 5.19 pesetas and 64 pesos duros = 85 pesos de plata antigua.",Estimated from 1 peso duro = 5.19 pesetas and 64 pesos duros = 85 pesos de plata antigua. Madrid on London
"currency_From Denzel (2010), 307-312. 1 peso duro = 5.19 pesetas.",Estimated from 1 peso duro = 5.19 pesetas. Madrid on London
"currency_Carreras and Tafunell (2005), table 9.19., pp. 703-704 and parities 1 Ecu=10 reales; 1 Peseta=4 reales","1 Ecu=10 reales,  1 Peseta=4 reales"
"currency_Carreras and Tafunell (2005), table 9.19., pp. 703-704 and parity 1 Peseta=4 reales",1 Peseta=4 reales
"Calculated from : Imp Spe = Imp Gen - Re-exp. Source : B.R. Mitchell, British Historical Statistics (2011)",Calculated from: Imp Spe = Imp Gen - Re-exp.
currency_From Statistical Abstract for the principal and other Foreign Countries : 1 £ ~ 12.6 Peso (Silver).,Estimated from 1 Sterling Pound = 12.6 Silver Peso
currency_1 Serbian Dinar = 1 French Franc. Cf. Statesman's Yearbook.,1 Serbian Dinar = 1 French Franc
"currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",Estimated
"currency_Schneider et al (1991), vol I, II, London on Madrid, 3 months, pp. 43-46 and parity 1 Peseta=4 reales","London on Madrid, 3 months and parity 1 Peseta=4 reales"
"currency_Schneider et al (1991), vol I, II, London on Madrid, 3 months, pp. 43-46, and parities: 1 Ecu=10 reales; 1 Peseta=4 reales","London on Madrid, 3 months and parities: 1 Ecu=10 reales; 1 Peseta=4 reales"
"currency_Schneider et al (1991), vol I, II, London on Madrid, 3 months, pp. 43-46.","London on Madrid, 3 months"
<<<<<<< HEAD
"currency_pp. 61-66; London on Lissabon, 60 days (1790-1850), 3 months (1851-1913).","London on Lisbon, 60 jours (1815-1850) and 3 mois (1851-1913)"
=======
"currency_pp. 61-66; London on Lissabon, 60 days (1790-1850), 3 months (1851-1913).","London on Lisbon, 60 jours (1815-1850) and 3 mois (1851-1913)"
>>>>>>> 3c569a79d426fc8b092ff063a3407e608b733da3
