acronym,volume,edition_date,shelf_number,country,dates,pages,id,source_name,source_author,source_URL,notes,reference,type,notes
ACE-3,38,,BNF: LC5-138 (AT),Chine,,,"Annales du commerce extérieur. Chine. Faits commerciaux, n°38. BNF : LC5-138 (AT) .",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,8,,BNF: LC5-138 (AT),Chine,,,"Annales du commerce extérieur. Chine. Faits commerciaux, n°8. BNF : LC5-138 (AT) .",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,9,,BNF: LC5-138 (AT),Chine,,,"Annales du commerce extérieur. Chine. Faits commerciaux, n°9. BNF : LC5-138 (AT) .",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,1,,BNF: LC5-138 (AV),Colonies anglaises d'Afrique,,,"Annales du commerce extérieur. Colonies anglaises d'Afrique. Faits commerciaux, n° 1. BNF : LC5-138(AV).",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,13,,BNF: LC5-138 (AV),Colonies anglaises d'Afrique,,,"Annales du commerce extérieur. Colonies anglaises d'Afrique. Faits commerciaux, n° 13. BNF : LC5-138(AV).",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,15,,BNF: LC5-138 (AV),Colonies anglaises d'Afrique,,,"Annales du commerce extérieur. Colonies anglaises d'Afrique. Faits commerciaux, n° 15. BNF : LC5-138(AV).",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,16,,BNF: LC5-138 (AV),Colonies anglaises d'Afrique,10/1/1867,,"Annales du commerce extérieur. Colonies anglaises d'Afrique. Faits commerciaux, n° 16 (octobre 1867). BNF : LC5-138 (AV)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,3,,BNF: LC5-138 (AV),Colonies anglaises d'Afrique,janvier et février 1847,,"Annales du commerce extérieur. Colonies anglaises d'Afrique. Faits commerciaux, n° 3 (janv-fev. 1847). BNF : LC5-138 (AV)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,3,,BNF: LC5-138 (AV),Colonies anglaises d'Afrique,,,"Annales du commerce extérieur. Colonies anglaises d'Afrique. Faits commerciaux, n° 3. BNF : LC5-138(AV).",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,6,,BNF: LC5-138 (AV),Colonies anglaises d'Afrique,,,"Annales du commerce extérieur. Colonies anglaises d'Afrique. Faits commerciaux, n° 6. BNF : LC5-138 (AV)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,15,,BNF: LC5-138 (CJ),Colonies anglaises d'Amérique,,,Annales du commerce extérieur. Colonies anglaises d'Amérique. Faits commerciaux n° 15. BNF : LC5-138 (CJ),Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,16,,BNF: LC5-138 (CJ),Colonies anglaises d'Amérique,,,Annales du commerce extérieur. Colonies anglaises d'Amérique. Faits commerciaux n° 16. BNF : LC5-138 (CJ),Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,17,,BNF: LC5-138 (CJ),Colonies anglaises d'Amérique,,,Annales du commerce extérieur. Colonies anglaises d'Amérique. Faits commerciaux n° 17. BNF : LC5-138 (CJ),Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,18,,BNF: LC5-138 (CJ),Colonies anglaises d'Amérique,,,Annales du commerce extérieur. Colonies anglaises d'Amérique. Faits commerciaux n° 18. BNF : LC5-138 (CJ),Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-4,,,,,1903 à 1911-1912,,Annales du commerce extérieur. Commerce et navigation des principaux pays étrangers de 1903 à 1911-1912.,Annales du commerce extérieur. Commerce et navigation des principaux pays étrangers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 4,secondary,
ACE-3,12,,BNF: LC5-138 (AA),Côtes d'Afrique,,,"Annales du commerce extérieur. Côtes d'Afrique. Faits commerciaux, n° 12. BNF : LC5-138 (AA)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,14,,BNF: LC5-138 (B),Côtes d'Afrique,,,"Annales du commerce extérieur. Côtes d'Afrique. Faits commerciaux, n° 14. BNF : LC5-138 (B)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,7,,BNF: LC5-138 (AA),Côtes d'Afrique,,,"Annales du commerce extérieur. Côtes d'Afrique. Faits commerciaux, n° 7. BNF : LC5-138 (AA)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,11,,BNF: LC5-138 (BC),Danemark,,,"Annales du commerce extérieur. Danemark. Faits commerciaux, n° 11. BNF : LC5-138 (BC)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,13,,BNF: LC5-138 (BC),Danemark,,,"Annales du commerce extérieur. Danemark. Faits commerciaux, n° 13. BNF : LC5-138 (BC)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,15,,BNF: LC5-138 (BC),Danemark,,,"Annales du commerce extérieur. Danemark. Faits commerciaux, n° 15. BNF : LC5-138 (BC)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,18,,BNF: LC5-138 (BC),Danemark,,,"Annales du commerce extérieur. Danemark. Faits commerciaux, n° 18. BNF : LC5-138 (BC)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,24,,BNF: LC5-138 (BC),Danemark,,,"Annales du commerce extérieur. Danemark. Faits commerciaux, n° 24. BNF : LC5-138 (BC)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,6,,BNF: LC5-138 (BC),Danemark,,,"Annales du commerce extérieur. Danemark. Faits commerciaux, n° 6. BNF : LC5-138 (BC)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,8,,BNF: LC5-138 (BC),Danemark,,,"Annales du commerce extérieur. Danemark. Faits commerciaux, n° 8. BNF : LC5-138 (BC)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,1,,BNF: LC5-138 (BG),Egypte,,,"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 1. BNF : LC5-138 (BG)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,10,,BNF: LC5-138 (BG),Egypte,,,"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 10. BNF : LC5-138 (BG)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,13,,BNF: LC5-138 (BG),Egypte,,,"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 13. BNF : LC5-138 (BG)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,13,,BNF: LC5-138 (BI),Egypte,,,"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 13. BNF : LC5-138 (Bi)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,15,,BNF: LC5-138 (BI),Egypte,,,"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 15. BNF : LC5-138 (Bi)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,16,,BNF: LC5-138 (BI),Egypte,,,"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 16. BNF : LC5-138 (Bi)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,17,,BNF: LC5-138 (BI),Egypte,,,"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 17. BNF : LC5-138 (Bi)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,19,,BNF: LC5-138 (BI),Egypte,,,"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 19. BNF : LC5-138 (Bi)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,3,,BNF: LC5-138 (BG),Egypte,,,"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 3. BNF : LC5-138 (BG)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,4,,BNF: LC5-138 (BI),Egypte,,,"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 4. BNF : LC5-138 (Bi)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,5,,BNF: LC5-138 (BI),Egypte,,,"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 5. BNF : LC5-138 (Bi)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,7,,BNF: LC5-138 (BG),Egypte,,,"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 7. BNF : LC5-138 (BG)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,7,,BNF: LC5-138 (BI),Egypte,,,"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 7. BNF : LC5-138 (Bi)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,8,,BNF: LC5-138 (BG),Egypte,,,"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 8. BNF : LC5-138 (BG)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,8,,BNF: LC5-138 (BI),Egypte,,,"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 8. BNF : LC5-138 (Bi)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,9,,BNF: LC5-138 (BG),Egypte,,,"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 9. BNF : LC5-138 (BG)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,9,,BNF: LC5-138 (BI),Egypte,,,"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 9. BNF : LC5-138 (Bi)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,36,,BNF: LC5-138 (AH),Empire d'Allemagne,,,Annales du commerce extérieur. Empire d'Allemagne. Faits commerciaux n° 36. BNF : LC5-138 (AH),Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,37,,BNF: LC5-138 (AH),Empire d'Allemagne,,,Annales du commerce extérieur. Empire d'Allemagne. Faits commerciaux n° 37. BNF : LC5-138 (AH),Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,11,,BNF: LC5-138 (AA),Etats barbaresques,,,"Annales du commerce extérieur. Etats barbaresques. Faits commerciaux, n° 11. BNF : LC5-138 (AA)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,13,,BNF: LC5-138 (BM),Etats barbaresques,,,"Annales du commerce extérieur. Etats barbaresques. Faits commerciaux, n° 13. BNF : LC5-138 (BM)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,14,,BNF: LC5-138 (BM),Etats barbaresques,,,"Annales du commerce extérieur. Etats barbaresques. Faits commerciaux, n° 14. BNF : LC5-138 (BM)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,18,,BNF: LC5-138 (BM),Etats barbaresques,,,"Annales du commerce extérieur. Etats barbaresques. Faits commerciaux, n° 18. BNF : LC5-138 (BM)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
