acronym,volume,edition_date,shelf_number,country,dates,pages,id,source_name,source_author,source_URL,notes,reference,type,notes
FT-SP,,2007,,,,,"A. Tena Junguito (2007), from L. Prados de la Escosura (1986, 1988).",New series of the Spanish foreign sector 1850-2000,Tena-Junguito A.,,,Foreign Trade Spain,estimation,
ART-UK,,,BNF: MICROFICHE M-150061862 [3054] LVIII.413,,,,Abstract of Reports of Trade of Various Countries Receivedby the Board of trade from H.M. Ministers and ConsulsHouse of Commons - Parliamentary Papers (1801-1900)Cote BNF: MICROFICHE M-150061862 [3054] LVIII.413.,Abstract of Reports of Trade of Various Countries,Board of Trade,,,Abstract Reports Trade,secondary,
ACE-3,,,BNF: LC5-138 (DE),Pays-Bas,1843-1868,,Annales du commerce extérieur - Pays-Bas. Faits commerciaux 1843 à 1868.  (LC5-138 (DE),Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,7,,BNF: LC5-138 (BG) 1843/10-1865/01 (N 1-16),Egypte,8/1/1853,,"Annales du Commerce Extérieur 3ème série des avis divers, N° 725. Faits commerciaux N° 7. Paris, août 1853. Cote BNF: LC5-138 (BG)1843/10-1865/01 (N 1-16)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,10,,BNF: LC5-138 (AD),Amérique centrale,,,Annales du commerce extérieur. Amérique centrale. Faits commerciaux n° 10. BNF : LC5-138 (AD),Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,13,,BNF: LC5-138 (AD),Amérique centrale,,,Annales du commerce extérieur. Amérique centrale. Faits commerciaux n° 13. BNF : LC5-138 (AD),Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,14,,BNF: LC5-138 (AD),Amérique centrale,,,Annales du commerce extérieur. Amérique centrale. Faits commerciaux n° 14. BNF : LC5-138 (AD),Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,4,,BNF: LC5-138 (AD),Amérique centrale,,,Annales du commerce extérieur. Amérique centrale. Faits commerciaux n° 4. BNF : LC5-138 (AD),Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,7,,BNF: LC5-138 (AD),Amérique centrale,,,Annales du commerce extérieur. Amérique centrale. Faits commerciaux n° 7. BNF : LC5-138 (AD),Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,8,,BNF: LC5-138 (AD),Amérique centrale,,,Annales du commerce extérieur. Amérique centrale. Faits commerciaux n° 8. BNF : LC5-138 (AD),Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,9,,BNF: LC5-138 (AD),Amérique centrale,,,Annales du commerce extérieur. Amérique centrale. Faits commerciaux n° 9. BNF : LC5-138 (AD),Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,17,,BNF: LC5-138 (AH),Association allemande,,,"Annales du commerce extérieur. Association allemande, Faits commerciaux n° 17, BNF : LC5-138 (AH)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,19,,BNF: LC5-138 (AH),Association allemande,,,Annales du commerce extérieur. Association allemande. Faits commerciaux n° 19   [BNF : LC5-138 (AH)],Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,31,,BNF: LC5-138 (AH),Association allemande,,,Annales du commerce extérieur. Association allemande. Faits commerciaux n° 31. BNF : LC5-138 (AH).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,32,,BNF: LC5-138 (AH),Association allemande,,,Annales du commerce extérieur. Association allemande. Faits commerciaux n° 32. BNF : LC5-138 (AH).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,35,,BNF: LC5-138 (AH),Association allemande,,,Annales du commerce extérieur. Association allemande. Faits commerciaux n° 35. BNF : LC5-138 (AH),Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,12,,BNF: LC5-138 (AH),Association allemande,,,Annales du commerce extérieur. Association allemande. Faits commerciaux. N° 12 [BNF : LC5-138 (AH)],Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,20,,BNF: LC5-138 (DB),Océanie et Australie,11/1/1866,,Annales du commerce extérieur. Australie et Océanie. Faits commerciaux n° 20.  (nov. 1866)  BNF : LC5-138 (DB),Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,10,,BNF: LC5-138 (AJ),Autriche,,,"Annales du commerce extérieur. Autriche. Faits commerciaux, n°10. BNF : LC5-138 (Aj) .",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,13,,BNF: LC5-138 (AJ),Autriche,,,"Annales du commerce extérieur. Autriche. Faits commerciaux, n°13. BNF : LC5-138 (Aj) .",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,17,,BNF: LC5-138 (AJ),Autriche,,,"Annales du commerce extérieur. Autriche. Faits commerciaux, n°17. BNF : LC5-138 (Aj) .",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,18,,BNF: LC5-138 (AJ),Autriche,,,"Annales du commerce extérieur. Autriche. Faits commerciaux, n°18. BNF : LC5-138 (Aj) .",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,19,,BNF: LC5-138 (AJ),Autriche,,,"Annales du commerce extérieur. Autriche. Faits commerciaux, n°19. BNF : LC5-138 (Aj) .",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,3,,BNF: LC5-138 (AJ),Autriche,,,"Annales du commerce extérieur. Autriche. Faits commerciaux, n°3. BNF : LC5-138 (Aj) .",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,5,,BNF: LC5-138 (AJ),Autriche,,,"Annales du commerce extérieur. Autriche. Faits commerciaux, n°5. BNF : LC5-138 (Aj) .",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,6,,BNF: LC5-138 (AJ),Autriche,,,"Annales du commerce extérieur. Autriche. Faits commerciaux, n°6. BNF : LC5-138 (Aj) .",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,7,,BNF: LC5-138 (AJ),Autriche,,,"Annales du commerce extérieur. Autriche. Faits commerciaux, n°7. BNF : LC5-138 (Aj) .",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,8,,BNF: LC5-138 (AJ),Autriche,,,"Annales du commerce extérieur. Autriche. Faits commerciaux, n°8. BNF : LC5-138 (Aj) .",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,8,,,Chine,,,Annales du commerce extérieur. Chine. Faits commerciaux n° 8.,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,1,,BNF: LC5-138 (AT),Chine,,,"Annales du commerce extérieur. Chine. Faits commerciaux, n°1. BNF : LC5-138 (AT) .",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,14,,BNF: LC5-138 (AT),Chine,,,"Annales du commerce extérieur. Chine. Faits commerciaux, n°14. BNF : LC5-138 (AT) .",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,33,,BNF: LC5-138 (AT),Chine,,,"Annales du commerce extérieur. Chine. Faits commerciaux, n°33. BNF : LC5-138 (AT) .",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,35,,BNF: LC5-138 (AT),Chine,,,"Annales du commerce extérieur. Chine. Faits commerciaux, n°35. BNF : LC5-138 (AT) .",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,36,,BNF: LC5-138 (AT),Chine,,,"Annales du commerce extérieur. Chine. Faits commerciaux, n°36. BNF : LC5-138 (AT) .",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
