Source,Target
"currency_Schneider et al. (1997), p. 90.","currency_Schneider et al. (1997), p. 90."
currency_Statistical Abstract for the principal and other Foreign Countries,currency_Statistical Abstract for the Principal and other Foreign Countries
"currency_Statistical Abstract for the principal and other Foreign Countries
Statistical Abstract for the principal and other Foreign Countries

zel (2010), 485.","currency_Statistical Abstract for the principal and other Foreign Countries Denzel (2010), 485."
currency_Denzel 359,"currency_Estimated from Russian Ruble and silver roubles for 100 banco roubles in Denzel (2010), 359."
"currency_Schneider et al. (1991), vol. I, II, pp.61-66 ; London on Lissabon, 60 days (1790-1850) and 3 months (1851-1913).","currency_Schneider et al (1991), vol. I,II, pp.  61-66; London on Lissabon, 60 days (1790-1850) and 3 months (1851-1913)."
"currency_Schneider et al. (1997), vol VII, p.49-50.","currency_Schneider et al. (1997), vol VII, p. 49-50."
"currency_Schneider et al. (1997), vol VII, p.40.","currency_Schneider et al. (1997), vol. VII, p. 40."
"currency_Schneider et al. (1997), vol VII, p.41.","currency_Schneider et al. (1997), vol. VII, p. 41."
"currency_Carter et al. (2006), vol. 5, Dollar-Sterling parity, Serie Ee612. ","currency_Carter et al. (2006), vol. 5, Dollar-Sterling parity, Serie Ee612."
"currency_Carter et al. (2006), series Ee618.","currency_Carter et al. (2006), vol. 5, Sight equivalent exchange rate, Serie Ee618"
"currency_Schneider et al. (1997), vol VII, p.45.","currency_Schneider et al. (1997), vol. VII, p. 45."
currency_Reis=Milreis*1000; http://www.ipeadata.gov.br,currency_Reis=Milreis*1000
"currency_Statistical Abstract for the principal and other Foreign Countries

el (2010), 485.","currency_Statistical Abstract for the principal and other Foreign Countries Denzel (2010), 485."
"currency_Statistical Abstract for the principal and other Foreign Countries
Statistical Abstract for the principal and other Foreign Countries",currency_Statistical Abstract for the Principal and other Foreign Countries
"currency_Statistical Abstract for the principal and other Foreign Countries
Statistical Abstract for the principal and other Foreign Countries
Statistical Abstract for the principal and other Foreign Countries",currency_Statistical Abstract for the Principal and other Foreign Countries
"currency_Statistical Abstract for the principal and other Foreign Countries
 (2010), 485.","currency_Statistical Abstract for the principal and other Foreign Countries Denzel (2010), 485."
"currency_Carter et al. (2006), vol. 5, Serie Ee612. ","currency_Carter et al. (2006), vol. 5, Dollar-Sterling parity, Serie Ee612."
currency_null,
currency_cf. Portuguese Milreis,currency_Cf. Portuguese Milreis
currency_http://moxlad.fcs.edu.uy/en/databaseaccess.html ,currency_http://moxlad.fcs.edu.uy/en/databaseaccess.html
currency_Denzel (2010),currency_Denzel (2010)
"currency_Documents sur le commerce extérieur. Amérique Latine. Pérou Faits commerciaux. N° 1, 3 [BNF : LC5-138 (An)]",currency_Documents sur le commerce extérieur. Amérique Latine. Pérou Faits commerciaux. N° 1 [BNF : LC5-138 (An)]
