"currency_Denzel (2010), 285-289.",Paris on London
"currency_Edvinsson, Jacobson, Waldenström (2010), pp. 322-324.",1 Swedish Riksdaler = 1 Swedish Krone
"currency_Estimated from Edvinsson, Jacobson, Waldenström (2010), pp. 322-324.",Estimated from 1 Swedish Riksdaler = 2/3 riksdaler banco
currency_Calculated from Statistical Abstract for the principal and other Foreign Countries,1 peso fuerte = 4s 2d & peso fuerte = piastre forte
currency_Statistical Abstract for the Principal and other Foreign Countries,1 Peso Gold = 4 sh.
currency_Statistical Abstract for the principal and other Foreign countries,"1 Milreis = 2s 0 7/10d,1 Milreis = 2s 3d"
"currency_League of Nations, Statistical Year-Book of the League of Nations",Tscherwonetz. Use exchange rate in 1913.
