GPH_code,GPH_name,continent,wikidata,wikidata_alt1,wikidata_alt2,wikidata_alt3,Notes
2,United States of America,America,http://www.wikidata.org/entity/Q30,,,,
3,Alaska,America,http://www.wikidata.org/entity/Q797,,,,
4,Hawaii,America,http://www.wikidata.org/entity/Q782,,,,
5,Virgin Islands,America,,,,,
6,Puerto Rico,America,http://www.wikidata.org/entity/Q1183,,,,
7,Texas,America,http://www.wikidata.org/entity/Q1439,,,,
10,Greenland,America,http://www.wikidata.org/entity/Q223,,,,
11,Faeroe Is.,America,https://www.wikidata.org/wiki/Q4628,,,,
20,Canada,America,http://www.wikidata.org/entity/Q16,,,,
21,Newfoundland,America,http://www.wikidata.org/entity/Q2003,,,,
30,Bermuda,America,http://www.wikidata.org/entity/Q23635,,,,
31,Bahamas,America,http://www.wikidata.org/entity/Q778,,,,
40,Cuba,America,http://www.wikidata.org/entity/Q241,,,,
41,Haiti,America,http://www.wikidata.org/entity/Q790,,,,
42,Dominican Republic (Santo Domingo),America,https://www.wikidata.org/wiki/Q786,,,,
50,West Indies Federation,America,https://www.wikidata.org/wiki/Q652560,,,,
51,Jamaica,America,http://www.wikidata.org/entity/Q766,,,,
52,Trinidad and Tobago,America,http://www.wikidata.org/entity/Q754,,,,
53,Barbados,America,http://www.wikidata.org/entity/Q244,,,,
54,Dominica,America,http://www.wikidata.org/entity/Q784,,,,
55,Grenada,America,http://www.wikidata.org/entity/Q769,,,,
56,St. Lucia,America,http://www.wikidata.org/entity/Q760,,,,
57,St. Vincent and the Grenadines,America,http://www.wikidata.org/entity/Q757,,,,
58,Antigua and Barbuda,America,http://www.wikidata.org/entity/Q781,,,,
59,Montserrat,America,http://www.wikidata.org/entity/Q13353,,,,
60,St. Kitts-Nevis,America,https://www.wikidata.org/wiki/Q763,,,,
65,Guadeloupe,America,http://www.wikidata.org/entity/Q17012,,,,
66,Martinique,America,http://www.wikidata.org/entity/Q17054,,,,
68,Netherlands Antilles,America,http://www.wikidata.org/entity/Q25227,,,,
70,Mexico,America,http://www.wikidata.org/entity/Q96,,,,
80,Belize (British Honduras),America,https://www.wikidata.org/wiki/Q242,,,,
89,United States of Central America,America,http://www.wikidata.org/entity/Q190025,,,,
90,Guatemala,America,http://www.wikidata.org/entity/Q774,,,,
91,Honduras,America,http://www.wikidata.org/entity/Q783,,,,
92,El Salvador,America,http://www.wikidata.org/entity/Q792,,,,
93,Nicaragua,America,http://www.wikidata.org/entity/Q811,,,,
94,Costa Rica,America,http://www.wikidata.org/entity/Q800,,,,
95,Panama,America,http://www.wikidata.org/entity/Q804,,,,
96,Panama Canal Zone,America,http://www.wikidata.org/entity/Q498979,,,,
100,Colombia (Gran Colombia),America,https://www.wikidata.org/wiki/Q739,,,,
101,Venezuela,America,http://www.wikidata.org/entity/Q717,,,,
110,Guyana (Br. Guiana),America,https://www.wikidata.org/wiki/Q734,,,,
115,Surinam,America,http://www.wikidata.org/entity/Q730,,,,
120,French Guyana,America,https://www.wikidata.org/wiki/Q3769,,,,
130,Ecuador,America,http://www.wikidata.org/entity/Q736,,,,
135,Peru,America,http://www.wikidata.org/entity/Q419,,,,
136,Bolivia-Peru Confederation,America,https://www.wikidata.org/wiki/Q899706,,,,
140,Brazil,America,http://www.wikidata.org/entity/Q155,,,,
145,Bolivia,America,http://www.wikidata.org/entity/Q750,,,,
150,Paraguay,America,http://www.wikidata.org/entity/Q733,,,,
155,Chile,America,http://www.wikidata.org/entity/Q298,,,,
160,Argentina,America,http://www.wikidata.org/entity/Q414,,,,
165,Uruguay,America,http://www.wikidata.org/entity/Q77,,,,
200,United Kingdom,Europe,http://www.wikidata.org/entity/Q145,,,,
205,Ireland,Europe,http://www.wikidata.org/entity/Q27,,,,
210,Netherlands,Europe,http://www.wikidata.org/entity/Q55,,,,
211,Belgium,Europe,http://www.wikidata.org/entity/Q31,,,,
212,Luxemburg,Europe,http://www.wikidata.org/entity/Q32,,,,
220,France,Europe,http://www.wikidata.org/entity/Q142,,https://www.wikidata.org/wiki/Q899706,,
221,Monaco,Europe,http://www.wikidata.org/entity/Q235,,,,
223,Liechtenstein,Europe,http://www.wikidata.org/entity/Q347,,,,
225,Switzerland,Europe,http://www.wikidata.org/entity/Q39,,,,
230,Spain,Europe,http://www.wikidata.org/entity/Q29,,,,
231,Gibraltar,Europe,http://www.wikidata.org/entity/Q1410,,,,
232,Andorra,Europe,http://www.wikidata.org/entity/Q228,,,,
235,Portugal,Europe,http://www.wikidata.org/entity/Q45,,,,
239,Prussia,Europe,,,,,
240,Hanover,Europe,http://www.wikidata.org/entity/Q1715,,,,
241,Anhalt Dessau,Europe,Q278874,,,,
242,Anhalt Köthen,Europe,Q264970,,,,
243,Anhalt Bernburg,Europe,Q686965,,,,
244,Brunswick,Europe,https://www.wikidata.org/wiki/Q326029,,,,
245,Bavaria,Europe,http://www.wikidata.org/entity/Q980,,,,
246,Bremen,Europe,https://www.wikidata.org/wiki/Q1209,,,,
247,Frankfurt,Europe,http://www.wikidata.org/entity/Q1794,,,,
248,Hamburg,Europe,http://www.wikidata.org/entity/Q1055,,,,
249,Saxony Anhalt (Anhalt),Europe,,,,,
250,Hohenzollern Hechingen,Europe,Q673865,,,,
251,Hohenzollern Sigmaringen,Europe,Q157013,,,,
252,Lippe,Europe,Q14551680,,,,
253,Mecklenburg Strelitz,Europe,Q161215,,,,
254,Nassau,Europe,Q836680,,,,
255,Germany,Europe,http://www.wikidata.org/entity/Q183,,,,
256,Saar,Europe,https://www.wikidata.org/wiki/Q1201,,,,
257,Oldenburg,Europe,https://www.wikidata.org/wiki/Q693669,,,,
258,"Reuss, Older Line",Europe,Q531783,,,,
259,"Reuss, Younger Line",Europe,Q639100,,,,
260,German Federal Republic,Europe,Q713750,,,,
261,Saxe Weimar,Europe,http://www.wikidata.org/entity/Q315667,,,,
262,Saxe Altenburg,Europe,http://www.wikidata.org/entity/Q158151,,,,
263,Saxe Gotha Altenburg,Europe,Q675085,,,,
264,Saxe Coburg and Gotha,Europe,http://www.wikidata.org/entity/Q3462133,,,,
265,German Democratic Republic,Europe,Q16957,,,,
266,Saxe Meiningen,Europe,,,,,
267,Baden,Europe,https://www.wikidata.org/wiki/Q186320,,,,
268,Schwartzburg Sondershausen,Europe,,,,,
269,Saxony,Europe,http://www.wikidata.org/entity/Q1202,,,,
270,Schwartzburg Rodolstadt,Europe,,,,,
271,Wuerttemberg,Europe,Q159631,,,,
272,Waldeck,Europe,Q165763,,,,
273,Hesse Electoral,Europe,Q529605,,,,
274,Schaumburg Lippe,Europe,Q310650,,,,
275,Hesse Grand Ducal,Europe,Q20135,,,,
276,Lübeck,Europe,http://www.wikidata.org/entity/Q2843,,,,
280,Mecklenburg Schwerin,Europe,http://www.wikidata.org/entity/Q158445,,,,
281,Mecklenburg,Europe,Q109057,,,,
282,Mecklenburg Vorpommern,Europe,Q1196,,,,
290,Poland,Europe,http://www.wikidata.org/entity/Q36,,,,
291,Danzig,Europe,http://www.wikidata.org/entity/Q1792,,https://www.wikidata.org/wiki/Q899706,,
300,Austria-Hungary,Europe,http://www.wikidata.org/entity/Q28513,,,,
305,Austria,Europe,http://www.wikidata.org/entity/Q40,,,,
310,Hungary,Europe,http://www.wikidata.org/entity/Q28,,,,
315,Czechoslovakia,Europe,http://www.wikidata.org/entity/Q33946,,,,
316,Czech Republic,Europe,Q213,,,,
317,Slovakia,Europe,Q214,,,,
324,Kingdom of Sardinia,Europe,,,,,
325,Italy,Europe,http://www.wikidata.org/entity/Q38,,,,
326,Trieste,Europe,http://www.wikidata.org/entity/Q546,,,,
327,Papal States,Europe,https://www.wikidata.org/wiki/Q237,,,,
328,Vatican City,Europe,Q237,,,,
329,Two Sicilies,Europe,,,,,
